ID,Y1,Y2,Y3,Y4,Group
1,4.992,13.568,9.122,11.275,1
2,5.328,19.272,12.15,12.324,1
3,1.458,13.162,5.83,13.312,1
4,8.741,20.692,12.336,16.835,1
5,6.818,14.515,14.996,15.41,1
6,5.737,15.745,7.635,12.702,1
7,10.874,21.534,16.568,18.983,1
8,4.886,20.107,11.147,15.247,1
9,-0.006,16.142,4.351,7.876,1
10,11.384,24.301,19.204,24.184,1
11,7.605,19.333,10.771,15.139,1
12,10.939,19.8,16.202,16.566,1
13,7.766,19.577,15.392,15.822,1
14,5.928,17.578,11.142,12.499,1
15,11.062,14.95,19.82,14.1,1
16,10.236,20.834,14.394,14.97,1
17,9.915,18.981,6.659,8.343,1
18,7.409,20.661,17.672,21.267,1
19,3.172,12.478,8.176,9.477,1
20,4.696,15.479,12.874,9.902,1
21,8.449,19.494,20.557,22.499,2
22,1.538,19.719,12.41,17.333,2
23,15.323,22.34,19.148,21.835,2
24,9.358,16.28,14.533,12.897,2
25,6.183,16.635,9.177,8.741,2
26,13.617,20.238,18.922,22.163,2
27,7.155,16.143,12.4,13.991,2
28,3.103,12.547,5.264,8.666,2
29,4.168,18.369,9.999,12.001,2
30,12.86,23.991,24.469,23.098,2
31,6.74,19.062,13.485,15.888,2
32,6.45,18.037,14.009,18.491,2
33,2.022,18.922,10.92,13.512,2
34,4.683,16.077,10.649,13.634,2
35,11.301,19.103,18.056,14.822,2
36,16.995,21.68,17.003,19.683,2
37,9.127,16.756,18.894,20.995,2
38,7.623,21.592,16.326,21.602,2
39,13.399,23.99,16.412,20.702,2
40,9.693,21.492,16.497,15.75,2
41,3.291,16.312,11.915,12.362,3
42,8.664,20.374,14.688,16.98,3
43,3.036,17.418,12.689,15.292,3
44,6.39,20.466,10.808,13.943,3
45,3.169,17.145,10.725,11.452,3
46,5.439,17.604,16.492,19.545,3
47,7.014,25.325,16.048,21.968,3
48,5.752,19.253,13.011,17.098,3
49,7.416,17.21,13.427,15.719,3
50,5.449,15.648,9.341,10.888,3
51,6.575,15.295,15.836,14.477,3
52,6.528,17.038,12.168,12.553,3
53,6.753,17.043,6.133,10.836,3
54,6.815,18.932,15.118,20.899,3
55,5.916,16.636,9.104,10.307,3
56,3.07,10.913,3.905,6.625,3
57,6.555,20.379,12.127,13.037,3
58,-0.519,12.876,9.858,10.732,3
59,6.01,19.067,9.44,14.645,3
60,2.819,14.297,14.328,13.531,3
61,36.981,79.79,64.475,62.349,4
62,42.794,82.647,66.729,66.196,4
63,35.25,80.029,61.4,60.473,4
64,39.741,81.193,66.901,65.909,4
65,41.615,83.404,67.036,65.695,4
66,34.347,78.663,63.651,59.264,4
67,38.983,81.167,64.932,65.265,4
68,41.72,81.359,64.427,64.785,4
69,37.626,78.598,66.575,62.474,4
70,40.812,82.317,68.408,67.941,4
71,41.029,83.766,63.628,66.854,4
72,35.979,74.638,65.855,63.105,4
73,36.796,78.834,67.155,60.495,4
74,37.482,78.514,66.454,62.865,4
75,37.932,79.408,60.093,59.698,4
76,39.215,82.499,60.713,63.311,4
77,42.218,84.288,72.179,68.582,4
78,43.188,83.528,67.495,72.378,4
79,32.944,77.198,57.182,59.674,4
80,36.809,78.855,61.555,63.727,4
